小節(onset),拍數(onset) : 4/4,小節(offset),拍數(offset) : 4/4,時值(offset) : 4/4,樂句種類,備註
1,0,4,1,1,sp,
4,2.5,8,2,0.5,p,
8,2.75,9,2,0.5,sp,
9,2.75,10,3,0.5,sp,
11,0.33,12,0,0.25,p,
12,0,15,3.5,0.25,sp,
15,3.75,20,0,1,p,
20,1.25,22,0,1,sp,
22,1.25,25,2,1,p,
26,0,29,3.5,0.5,sp,
29,3.5,37,0,0.5,p,
37,0.5,42,3.5,0.5,sp,
42,3.5,45,3.75,0.25,p,
46,0,51,0,0.25,sp,應該是51
51,0,55,2,1,p,
56,0,57,0.5,0.5,sp,
57,0,58,0.5,0.5,sp,
58,0,59,0.25,0.25,p,
59,0,63,0,0.25,sp,
63,0,66,3.75,0.25,sp,
67,0,68,3.75,0.25,p,
69,0,71,2.25,0.25,sp,
71,2.5,74,1.25,0.25,sp,
74,1.25,78,0,4,p,
79,0,82,1,1,sp,~~~
82,2,86,2,0.5,sp,
86,2.5,87,2,0.5,sp,
87,2.5,88,2,0.5,sp,
88,2.5,90,0,0.5,p,左右手音有錯
90,1,93,0,2,sp,
93,2,95,2,1,p,
96,0,102,0,0.25,sp,
102,0,107,0,0.25,p,是否要該小節第2音
107,0.5,113,0,3,sp,
113,0,116,0,0.33,p,三連音
116,0,121,0,0.5,p,
121,0.5,128,0,1,sp,127 右手跑到左手
128,0,132,2,1,p,